normal_id,base_lon,base_lat,tip_lon,tip_lat,angle_deg,centroid_lon,centroid_lat,dist_to_sa_km
1,76.37761706,31.22047228,77.72652462,32.57545137,48.95389042,76.94218345,31.78757982,83.70720198
2,76.81981695,30.88372294,78.32142084,32.39208567,48.9539,77.333681,31.399899,76.19
3,77.92426223,30.04265261,79.42586613,31.55101533,48.9539,78.559583,30.680833,94.2
4,78.74520089,29.58192407,79.82561466,31.34461158,61.8049,79.229441,30.371959,99.79
5,80.03420678,28.97754669,81.11462055,30.74023421,61.8049,80.389601,29.557369,73.24
6,80.64613692,28.69063045,81.72655068,30.45331797,61.8049,81.053641,29.355471,83.97
7,81.15715034,28.45103111,82.23756411,30.21371863,61.8049,81.678615,29.301797,107.46
8,81.91407475,28.09613127,82.99448851,29.85881879,61.8049,82.309124,28.740651,81.41
9,83.33675274,27.59494302,84.03295298,29.49999632,72.2746,83.633033,28.405671,94.75
10,84.11327364,27.37786358,84.80947388,29.28291687,72.2746,84.416651,28.208014,97.02
11,84.48512818,27.27391019,85.18132842,29.17896349,72.2746,84.830023,28.217666,110.29
12,84.82723059,27.17827413,85.52343083,29.08332742,72.2746,85.111746,27.956811,90.99
13,85.58798729,26.96560162,86.28418753,28.87065492,72.2746,85.85964,27.708942,86.87
14,85.85364261,26.89133664,86.54984285,28.79638994,72.2746,86.12171,27.624864,85.73
15,86.65908443,26.73858739,86.64364385,28.7385418,90.3869,86.653783,27.425217,76.44
