longitude,latitude,elevation
86.72291667,27.78541667,2959.0
86.72291667,27.76875000,2777.0
86.71041667,27.75625000,2676.0
86.71458333,27.75208333,2874.0
86.71458333,27.74375000,2681.0
86.71041667,27.73958333,2592.0
86.71041667,27.73541667,2614.0
86.71041667,27.72708333,2556.0
86.71458333,27.72291667,2604.0
86.71458333,27.71875000,2586.0
86.71458333,27.71458333,2617.0
86.71041667,27.71041667,2458.0
86.71458333,27.70625000,2584.0
86.71041667,27.70208333,2529.0
86.71041667,27.68958333,2283.0
86.71458333,27.68541667,2259.0
86.71458333,27.68125000,2190.0
86.71458333,27.67291667,2185.0
86.71041667,27.66875000,2032.0
86.71041667,27.66458333,2107.0
86.70208333,27.65625000,2390.0
86.70208333,27.64791667,1847.0
86.70208333,27.63541667,2064.0
86.69791667,27.63125000,1717.0
86.69791667,27.61875000,1711.0
86.69375000,27.61458333,1575.0
86.69375000,27.61041667,1683.0
86.67708333,27.59375000,1535.0
86.67708333,27.58541667,1547.0
86.67291667,27.58125000,1553.0
86.67708333,27.57708333,1568.0
86.67708333,27.57291667,1537.0
86.67708333,27.56875000,1409.0
86.68125000,27.56458333,1374.0
86.68541667,27.56458333,1324.0
86.68958333,27.56041667,1392.0
86.69791667,27.56041667,1280.0
86.71458333,27.54375000,1458.0
86.71458333,27.53958333,1322.0
86.71041667,27.53541667,1318.0
86.71041667,27.53125000,1205.0
86.70625000,27.52708333,1122.0
86.70625000,27.52291667,1121.0
86.69791667,27.51458333,1110.0
86.69791667,27.51041667,1247.0
86.69375000,27.50625000,1108.0
86.69375000,27.50208333,1260.0
86.68958333,27.49791667,1249.0
86.69791667,27.48958333,1018.0
86.70208333,27.48958333,1061.0
86.70625000,27.48541667,935.0
86.71041667,27.48541667,916.0
86.71875000,27.47708333,908.0
86.72291667,27.47291667,900.0
86.72291667,27.46875000,883.0
86.72708333,27.46458333,1059.0
86.72708333,27.46041667,967.0
86.73125000,27.45625000,862.0
86.71875000,27.44375000,870.0
86.71458333,27.43958333,896.0
86.70625000,27.43958333,841.0
86.69791667,27.43125000,755.0
86.68958333,27.42291667,777.0
86.68958333,27.41875000,718.0
86.68541667,27.41458333,701.0
86.68541667,27.41041667,727.0
86.68125000,27.40625000,710.0
86.68125000,27.37708333,669.0
86.68125000,27.36041667,656.0
86.68125000,27.34791667,609.0
86.67708333,27.34375000,575.0
86.68125000,27.33958333,654.0
86.68125000,27.33541667,541.0
86.68541667,27.33125000,572.0
86.68125000,27.32708333,518.0
86.68125000,27.31875000,544.0
86.68541667,27.31458333,501.0
86.68541667,27.31041667,494.0
86.68125000,27.30625000,483.0
86.66875000,27.29375000,547.0
86.67291667,27.28958333,500.0
86.66875000,27.28541667,501.0
86.66875000,27.27708333,497.0
86.67291667,27.27291667,518.0
86.66875000,27.26875000,460.0
86.66041667,27.26875000,442.0
86.65625000,27.26458333,568.0
86.65208333,27.26458333,507.0
86.64791667,27.26458333,556.0
86.64375000,27.26041667,469.0
86.63958333,27.25625000,433.0
86.63541667,27.25625000,437.0
86.62708333,27.24791667,438.0
86.62291667,27.24791667,474.0
86.61875000,27.24375000,501.0
86.61875000,27.23958333,456.0
86.61458333,27.23541667,412.0
86.60625000,27.23541667,438.0
86.60208333,27.23125000,438.0
86.59791667,27.23541667,474.0
86.58958333,27.22708333,438.0
86.58125000,27.22708333,403.0
86.57708333,27.22291667,439.0
86.57291667,27.22708333,402.0
86.56875000,27.22708333,393.0
86.56458333,27.22291667,393.0
86.56041667,27.22291667,403.0
86.55625000,27.22708333,418.0
86.54375000,27.21458333,423.0
86.54375000,27.21041667,381.0
86.53958333,27.20625000,426.0
86.53541667,27.20625000,415.0
86.51875000,27.18958333,419.0
86.51458333,27.18958333,431.0
86.51041667,27.18541667,415.0
86.49375000,27.18541667,468.0
86.48958333,27.18541667,362.0
86.48541667,27.18125000,367.0
86.48125000,27.18125000,502.0
86.46875000,27.16875000,341.0
86.46041667,27.16875000,455.0
86.45625000,27.16458333,373.0
86.44791667,27.16458333,346.0
86.43541667,27.15208333,457.0
86.43541667,27.14375000,360.0
